2017-01-17 13:42:40,631 [Worker-114] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: IntegrationEngine:IntegrationEngine:0.0.1-SNAPSHOT @ C:\Work\eclipse\jee-neon\workspaces\Disertatie\IntegrationEngine\pom.xml.
2017-01-17 13:42:44,117 [Worker-111] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 13:42:44,128 [Worker-111] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Work\eclipse\jee-neon\workspaces\Disertatie\IntegrationEngine\src\main\resources
2017-01-17 13:42:44,131 [Worker-111] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 13:42:44,141 [Worker-111] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Work\eclipse\jee-neon\workspaces\Disertatie\IntegrationEngine\src\test\resources
2017-01-17 13:42:44,227 [Worker-114] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /IntegrationEngine/src
2017-01-17 13:42:44,229 [Worker-114] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /IntegrationEngine/src/test/java because it overlaps with /IntegrationEngine/src
2017-01-17 13:42:44,661 [Worker-114] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-01-17 13:42:45,535 [Worker-114] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: IntegrationEngine:IntegrationEngine:0.0.1-SNAPSHOT @ C:\Work\eclipse\jee-neon\workspaces\Disertatie\IntegrationEngine\pom.xml.
2017-01-17 13:42:46,387 [Worker-114] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /IntegrationEngine/src
2017-01-17 13:42:46,388 [Worker-114] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /IntegrationEngine/src/test/java because it overlaps with /IntegrationEngine/src
2017-01-17 13:42:46,602 [Worker-114] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2017-01-17 13:42:46,926 [Worker-117] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
